;gen;indv;callf;scores
0;gen0;[1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0];"ADS_drawLogP(3.0, 45.5, 18, [1, 3, 1, 1, 3, 0], [47.5, 33.75, 17.5, 16.25, 21.25, 26.25], [10.9, 7.11, 18.48, 25.12, 36.02, 40.76], 0);";0,0
1;gen0;[0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0];"ADS_drawLogP(2.0, 46.0, 25, [1, 3, 3, 3, 1, 2], [21.25, 46.25, 46.25, 48.75, 31.25, 11.25], [0.96, 3.35, 25.88, 25.4, 44.56, 31.62], 2);";11,0
2;gen0;[0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0];"ADS_drawLogP(2.67, 44.5, 19, [1, 1, 3, 0, 0, 2], [41.25, 42.5, 45.0, 46.25, 38.75, 30.0], [0.93, 13.91, 21.79, 21.79, 31.52, 44.5], 0);";19,0
3;gen0;[1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1];"ADS_drawLogP(3.33, 40.5, 19, [3, 0, 1, 2, 1, 1], [18.75, 42.5, 41.25, 30.0, 36.25, 41.25], [1.27, 7.59, 15.19, 18.14, 30.8, 33.75], 3);";6,0
4;gen0;[1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1];"ADS_drawLogP(4.0, 41.0, 23, [0, 3, 2, 2, 0, 2], [27.5, 47.5, 45.0, 45.0, 45.0, 22.5], [9.4, 6.83, 17.94, 16.66, 38.44, 36.73], 3);";0,0
5;gen0;[0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0];"ADS_drawLogP(2.0, 44.5, 20, [3, 2, 2, 3, 1, 0], [46.25, 48.75, 35.0, 27.5, 26.25, 35.0], [6.03, 0.46, 28.28, 24.57, 43.57, 30.13], 2);";31,0
6;gen0;[0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1];"ADS_drawLogP(2.0, 39.5, 15, [0, 2, 3, 1, 1, 1], [45.0, 16.25, 13.75, 18.75, 40.0, 26.25], [13.17, 2.88, 25.51, 25.92, 37.44, 31.27], 1);";25,0
7;gen0;[1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1];"ADS_drawLogP(3.0, 44.0, 25, [2, 0, 1, 3, 1, 0], [16.25, 32.5, 10.0, 30.0, 16.25, 23.75], [8.71, 10.08, 27.04, 17.42, 31.17, 37.58], 3);";5,0
8;gen0;[0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1];"ADS_drawLogP(2.0, 43.5, 23, [1, 2, 0, 0, 2, 0], [23.75, 10.0, 41.25, 41.25, 31.25, 27.5], [14.05, 7.7, 16.77, 21.3, 34.89, 30.81], 3);";42,0
9;gen0;[1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1];"ADS_drawLogP(4.0, 44.0, 14, [0, 0, 3, 0, 1, 0], [22.5, 47.5, 12.5, 20.0, 42.5, 25.0], [9.17, 11.0, 16.96, 19.25, 34.83, 30.71], 1);";12,0
10;gen1;[1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1];"ADS_drawLogP(3.0, 44.0, 25, [2, 0, 1, 3, 1, 0], [16.25, 32.5, 12.5, 30.0, 16.25, 23.75], [8.71, 11.0, 26.58, 18.33, 41.25, 39.42], 3);";13,0
11;gen1;[1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1];"ADS_drawLogP(4.0, 41.0, 23, [0, 3, 2, 2, 0, 2], [27.5, 47.5, 45.0, 40.0, 45.0, 22.5], [9.4, 6.83, 18.36, 16.23, 29.04, 35.02], 3);";14,0
