;gen;indv;callf;scores
0;gen0;[0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1];"ADS_drawLogP(2.0, 42.5, 16, [3, 0, 0, 0, 3, 0], [38.75, 15.0, 32.5, 22.5, 43.75, 22.5], [4.43, 0.44, 25.23, 20.36, 34.09, 41.17], 1);";0,0
1;gen0;[1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1];"ADS_drawLogP(3.33, 44.0, 21, [0, 3, 1, 1, 1, 1], [30.0, 37.5, 37.5, 40.0, 37.5, 33.75], [1.83, 6.87, 17.42, 23.83, 37.58, 33.46], 3);";0,0
2;gen0;[1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1];"ADS_drawLogP(4.0, 45.5, 18, [3, 1, 3, 3, 0, 0], [30.0, 17.5, 45.0, 30.0, 32.5, 42.5], [8.53, 2.84, 19.43, 28.91, 37.92, 36.97], 3);";0,0
3;gen0;[0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1];"ADS_drawLogP(2.33, 42.5, 15, [0, 0, 2, 1, 3, 3], [43.75, 46.25, 13.75, 16.25, 38.75, 36.25], [5.31, 10.18, 19.48, 27.01, 31.43, 32.32], 3);";10,0
4;gen0;[1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1];"ADS_drawLogP(4.0, 42.5, 13, [2, 2, 2, 0, 3, 3], [40.0, 15.0, 12.5, 45.0, 18.75, 17.5], [7.08, 0.89, 17.71, 23.91, 34.97, 37.63], 3);";25,0
5;gen0;[0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0];"ADS_drawLogP(1.67, 40.0, 17, [2, 0, 2, 1, 0, 1], [12.5, 25.0, 36.25, 42.5, 46.25, 13.75], [8.75, 8.75, 17.92, 15.42, 32.92, 33.33], 0);";0,0
6;gen0;[0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1];"ADS_drawLogP(2.0, 45.5, 18, [1, 2, 2, 1, 3, 0], [48.75, 13.75, 43.75, 41.25, 42.5, 11.25], [13.27, 15.17, 18.01, 18.96, 33.65, 33.18], 1);";30,0
7;gen0;[1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0];"ADS_drawLogP(3.33, 46.0, 25, [0, 2, 0, 2, 2, 0], [16.25, 22.5, 10.0, 21.25, 43.75, 15.0], [5.27, 8.15, 21.56, 23.96, 37.38, 43.6], 2);";24,0
8;gen0;[1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0];"ADS_drawLogP(3.66, 45.0, 13, [2, 1, 0, 0, 3, 3], [30.0, 20.0, 25.0, 47.5, 23.75, 30.0], [10.78, 10.31, 26.72, 19.22, 32.34, 37.97], 2);";17,0
9;gen0;[1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0];"ADS_drawLogP(4.0, 45.5, 22, [0, 3, 2, 0, 1, 2], [23.75, 17.5, 40.0, 25.0, 22.5, 46.25], [15.17, 13.27, 23.22, 16.59, 40.76, 37.92], 0);";0,0
