,0,1,2,3,4,5,6,7,8,9,10,11
0,0,1,1,0,1,1,1,1,0,0,1,0
1,0,1,1,1,0,0,0,0,1,0,1,0
2,1,1,0,0,0,1,0,1,0,0,0,1
3,1,1,1,1,0,0,0,1,1,0,0,1
4,1,0,0,1,1,1,0,0,1,0,1,0
5,1,1,1,0,1,1,1,1,1,0,0,1
6,0,1,1,1,1,1,0,0,0,0,1,1
7,1,0,0,1,1,1,0,1,1,1,0,1
8,0,0,1,0,1,0,1,1,1,1,0,1
9,0,1,1,0,1,1,1,0,0,1,0,0
10,1,0,0,1,1,1,0,1,0,1,0,0
11,1,0,1,1,1,0,1,1,0,0,1,0
12,1,1,1,1,1,0,0,1,0,0,1,0
13,1,1,0,0,0,0,1,0,1,0,0,0
14,1,1,1,0,1,1,1,1,0,0,1,0
15,1,0,0,1,0,1,0,1,1,0,0,1
16,0,0,1,0,1,0,0,1,1,1,0,1
17,1,1,0,1,1,0,0,0,0,0,0,0
18,0,0,1,0,0,0,1,1,0,1,1,1
19,0,0,1,1,0,0,0,1,0,1,1,1
